column,side,boundary,event_class,window,strictly_after_count,equal_count,total_rows,frac,worst_overhang_ms,exactness,note
sell_volume_10s,corrected,claimed_T_prev,trades_sell,rolling 10 rows ending at own row,89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),as built absorbs ALL trades (see sell_volume)
trade_count_10s,contaminated,decision_T,trades_all,rolling 10 rows ending at own row,89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
trade_count_10s,corrected,decision_T,trades_all,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
trade_count_10s,corrected,claimed_T_prev,trades_all,rolling 10 rows ending at own row,89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
large_trade_count_10s,contaminated,decision_T,trades_large,rolling 10 rows ending at own row,23633,20,338159,0.069887,999.954529,exact (only own/prev second can exceed boundary),
large_trade_count_10s,corrected,decision_T,trades_large,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
large_trade_count_10s,corrected,claimed_T_prev,trades_large,rolling 10 rows ending at own row,23633,20,338158,0.069887,999.954529,exact (only own/prev second can exceed boundary),
vwap_distance,contaminated,decision_T,trades_all,inherits vwap (mid is snapshot-native),89568,20,338159,0.264869,999.996869,exact (only own/prev second can exceed boundary),
vwap_distance,corrected,decision_T,trades_all,inherits vwap (mid is snapshot-native),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
vwap_distance,corrected,claimed_T_prev,trades_all,inherits vwap (mid is snapshot-native),89568,20,338158,0.26487,999.996869,exact (only own/prev second can exceed boundary),
bid_adds,contaminated,decision_T,mbo_bid_add,merged 1s aggregate (own second),164959,1,338159,0.487815,999.996279,exact (only own/prev second can exceed boundary),
bid_adds,corrected,decision_T,mbo_bid_add,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
bid_adds,corrected,claimed_T_prev,mbo_bid_add,merged 1s aggregate (own second),164958,1,338158,0.487813,999.996279,exact (only own/prev second can exceed boundary),
ask_adds,contaminated,decision_T,mbo_ask_add,merged 1s aggregate (own second),162754,4,338159,0.481294,999.999257,exact (only own/prev second can exceed boundary),
ask_adds,corrected,decision_T,mbo_ask_add,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
ask_adds,corrected,claimed_T_prev,mbo_ask_add,merged 1s aggregate (own second),162753,4,338158,0.481293,999.999257,exact (only own/prev second can exceed boundary),
bid_cancels,contaminated,decision_T,mbo_bid_cancel,merged 1s aggregate (own second),135981,23,338159,0.402121,999.998361,exact (only own/prev second can exceed boundary),
bid_cancels,corrected,decision_T,mbo_bid_cancel,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
bid_cancels,corrected,claimed_T_prev,mbo_bid_cancel,merged 1s aggregate (own second),135980,23,338158,0.40212,999.998361,exact (only own/prev second can exceed boundary),
ask_cancels,contaminated,decision_T,mbo_ask_cancel,merged 1s aggregate (own second),129334,22,338159,0.382465,999.999579,exact (only own/prev second can exceed boundary),
ask_cancels,corrected,decision_T,mbo_ask_cancel,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
ask_cancels,corrected,claimed_T_prev,mbo_ask_cancel,merged 1s aggregate (own second),129333,22,338158,0.382463,999.999579,exact (only own/prev second can exceed boundary),
total_events,contaminated,decision_T,mbo_all,merged 1s aggregate (own second),254315,29,338159,0.752057,999.999579,exact (only own/prev second can exceed boundary),
total_events,corrected,decision_T,mbo_all,merged 1s aggregate (own second),0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
total_events,corrected,claimed_T_prev,mbo_all,merged 1s aggregate (own second),254314,29,338158,0.752057,999.999579,exact (only own/prev second can exceed boundary),
bid_add_rate_5s,contaminated,decision_T,mbo_bid_add,rolling 5 rows ending at own row,164959,1,338159,0.487815,999.996279,exact (only own/prev second can exceed boundary),
bid_add_rate_5s,corrected,decision_T,mbo_bid_add,rolling 5 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
bid_add_rate_5s,corrected,claimed_T_prev,mbo_bid_add,rolling 5 rows ending at own row,164958,1,338158,0.487813,999.996279,exact (only own/prev second can exceed boundary),
bid_add_rate_10s,contaminated,decision_T,mbo_bid_add,rolling 10 rows ending at own row,164959,1,338159,0.487815,999.996279,exact (only own/prev second can exceed boundary),
bid_add_rate_10s,corrected,decision_T,mbo_bid_add,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
bid_add_rate_10s,corrected,claimed_T_prev,mbo_bid_add,rolling 10 rows ending at own row,164958,1,338158,0.487813,999.996279,exact (only own/prev second can exceed boundary),
ask_add_rate_5s,contaminated,decision_T,mbo_ask_add,rolling 5 rows ending at own row,162754,4,338159,0.481294,999.999257,exact (only own/prev second can exceed boundary),
ask_add_rate_5s,corrected,decision_T,mbo_ask_add,rolling 5 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
ask_add_rate_5s,corrected,claimed_T_prev,mbo_ask_add,rolling 5 rows ending at own row,162753,4,338158,0.481293,999.999257,exact (only own/prev second can exceed boundary),
ask_add_rate_10s,contaminated,decision_T,mbo_ask_add,rolling 10 rows ending at own row,162754,4,338159,0.481294,999.999257,exact (only own/prev second can exceed boundary),
ask_add_rate_10s,corrected,decision_T,mbo_ask_add,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
ask_add_rate_10s,corrected,claimed_T_prev,mbo_ask_add,rolling 10 rows ending at own row,162753,4,338158,0.481293,999.999257,exact (only own/prev second can exceed boundary),
bid_cancel_rate_5s,contaminated,decision_T,mbo_bid_cancel,rolling 5 rows ending at own row,135981,23,338159,0.402121,999.998361,exact (only own/prev second can exceed boundary),
bid_cancel_rate_5s,corrected,decision_T,mbo_bid_cancel,rolling 5 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
bid_cancel_rate_5s,corrected,claimed_T_prev,mbo_bid_cancel,rolling 5 rows ending at own row,135980,23,338158,0.40212,999.998361,exact (only own/prev second can exceed boundary),
bid_cancel_rate_10s,contaminated,decision_T,mbo_bid_cancel,rolling 10 rows ending at own row,135981,23,338159,0.402121,999.998361,exact (only own/prev second can exceed boundary),
bid_cancel_rate_10s,corrected,decision_T,mbo_bid_cancel,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
bid_cancel_rate_10s,corrected,claimed_T_prev,mbo_bid_cancel,rolling 10 rows ending at own row,135980,23,338158,0.40212,999.998361,exact (only own/prev second can exceed boundary),
ask_cancel_rate_5s,contaminated,decision_T,mbo_ask_cancel,rolling 5 rows ending at own row,129334,22,338159,0.382465,999.999579,exact (only own/prev second can exceed boundary),
ask_cancel_rate_5s,corrected,decision_T,mbo_ask_cancel,rolling 5 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
ask_cancel_rate_5s,corrected,claimed_T_prev,mbo_ask_cancel,rolling 5 rows ending at own row,129333,22,338158,0.382463,999.999579,exact (only own/prev second can exceed boundary),
ask_cancel_rate_10s,contaminated,decision_T,mbo_ask_cancel,rolling 10 rows ending at own row,129334,22,338159,0.382465,999.999579,exact (only own/prev second can exceed boundary),
ask_cancel_rate_10s,corrected,decision_T,mbo_ask_cancel,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
ask_cancel_rate_10s,corrected,claimed_T_prev,mbo_ask_cancel,rolling 10 rows ending at own row,129333,22,338158,0.382463,999.999579,exact (only own/prev second can exceed boundary),
cancel_ratio_asymmetry,contaminated,decision_T,mbo_cancel_any,from bid/ask_cancel_rate_10s,179857,24,338159,0.531871,999.999579,exact (only own/prev second can exceed boundary),
cancel_ratio_asymmetry,corrected,decision_T,mbo_cancel_any,from bid/ask_cancel_rate_10s,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
cancel_ratio_asymmetry,corrected,claimed_T_prev,mbo_cancel_any,from bid/ask_cancel_rate_10s,179856,24,338158,0.53187,999.999579,exact (only own/prev second can exceed boundary),
event_rate_10s,contaminated,decision_T,mbo_all,rolling 10 rows ending at own row,254315,29,338159,0.752057,999.999579,exact (only own/prev second can exceed boundary),
event_rate_10s,corrected,decision_T,mbo_all,rolling 10 rows ending at own row,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
event_rate_10s,corrected,claimed_T_prev,mbo_all,rolling 10 rows ending at own row,254314,29,338158,0.752057,999.999579,exact (only own/prev second can exceed boundary),
order_flow_accel,contaminated,decision_T,mbo_all,event_rate_10s.diff(5): rows t-14..t,254315,29,338159,0.752057,999.999579,exact (only own/prev second can exceed boundary),
order_flow_accel,corrected,decision_T,mbo_all,event_rate_10s.diff(5): rows t-14..t,0,0,338158,0.0,0.0,exact (only own/prev second can exceed boundary),
order_flow_accel,corrected,claimed_T_prev,mbo_all,event_rate_10s.diff(5): rows t-14..t,254314,29,338158,0.752057,999.999579,exact (only own/prev second can exceed boundary),
