fields: ['column', 'side', 'boundary', 'event_class', 'window', 'strictly_after_count', 'equal_count', 'total_rows', 'frac', 'worst_overhang_ms', 'exactness', 'note']
50 {'column': 'vwap_distance', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'trades_all', 'window': 'inherits vwap (mid is snapshot-native)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338159', 'frac': '0.264869', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
53 {'column': 'bid_adds', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_bid_add', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '164959', 'equal_count': '1', 'total_rows': '338159', 'frac': '0.487815', 'worst_overhang_ms': '999.996279', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
56 {'column': 'ask_adds', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_ask_add', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '162754', 'equal_count': '4', 'total_rows': '338159', 'frac': '0.481294', 'worst_overhang_ms': '999.999257', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
59 {'column': 'bid_cancels', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_bid_cancel', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '135981', 'equal_count': '23', 'total_rows': '338159', 'frac': '0.402121', 'worst_overhang_ms': '999.998361', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
62 {'column': 'ask_cancels', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_ask_cancel', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '129334', 'equal_count': '22', 'total_rows': '338159', 'frac': '0.382465', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
65 {'column': 'total_events', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '254315', 'equal_count': '29', 'total_rows': '338159', 'frac': '0.752057', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
68 {'column': 'bid_add_rate_5s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_bid_add', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '164959', 'equal_count': '1', 'total_rows': '338159', 'frac': '0.487815', 'worst_overhang_ms': '999.996279', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
71 {'column': 'bid_add_rate_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_bid_add', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '164959', 'equal_count': '1', 'total_rows': '338159', 'frac': '0.487815', 'worst_overhang_ms': '999.996279', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
74 {'column': 'ask_add_rate_5s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_ask_add', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '162754', 'equal_count': '4', 'total_rows': '338159', 'frac': '0.481294', 'worst_overhang_ms': '999.999257', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
77 {'column': 'ask_add_rate_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_ask_add', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '162754', 'equal_count': '4', 'total_rows': '338159', 'frac': '0.481294', 'worst_overhang_ms': '999.999257', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
80 {'column': 'bid_cancel_rate_5s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_bid_cancel', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '135981', 'equal_count': '23', 'total_rows': '338159', 'frac': '0.402121', 'worst_overhang_ms': '999.998361', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
83 {'column': 'bid_cancel_rate_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_bid_cancel', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '135981', 'equal_count': '23', 'total_rows': '338159', 'frac': '0.402121', 'worst_overhang_ms': '999.998361', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
86 {'column': 'ask_cancel_rate_5s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_ask_cancel', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '129334', 'equal_count': '22', 'total_rows': '338159', 'frac': '0.382465', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
89 {'column': 'ask_cancel_rate_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_ask_cancel', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '129334', 'equal_count': '22', 'total_rows': '338159', 'frac': '0.382465', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
92 {'column': 'cancel_ratio_asymmetry', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_cancel_any', 'window': 'from bid/ask_cancel_rate_10s', 'strictly_after_count': '179857', 'equal_count': '24', 'total_rows': '338159', 'frac': '0.531871', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
95 {'column': 'event_rate_10s', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_all', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '254315', 'equal_count': '29', 'total_rows': '338159', 'frac': '0.752057', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
98 {'column': 'order_flow_accel', 'side': 'contaminated', 'boundary': 'decision_T', 'event_class': 'mbo_all', 'window': 'event_rate_10s.diff(5): rows t-14..t', 'strictly_after_count': '254315', 'equal_count': '29', 'total_rows': '338159', 'frac': '0.752057', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
---- corrected/claimed_T_prev ----
4 {'column': 'net_delta', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'as built signed_vol = -uint32 size wraps to 2**32-size for every trade (all classified sell)'}
7 {'column': 'buy_volume', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_buy', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '0', 'equal_count': '0', 'total_rows': '338158', 'frac': '0.0', 'worst_overhang_ms': '0.0', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': "AS-BUILT CAVEAT: is_buy=aggressor_side.isin(['B','Buy','buy']) matches no value (actual values SELL_AGGRESSOR/BUY_AGGRESSOR/UNKNOWN) -> buy_volume identically 0.0, absorbs nothing"}
10 {'column': 'sell_volume', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_sell', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'as built absorbs ALL trades (every trade classified sell; sell_volume==trade_volume on all rows)'}
13 {'column': 'trade_count', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
16 {'column': 'trade_volume', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
19 {'column': 'large_trade_count', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_large', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '23633', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.069887', 'worst_overhang_ms': '999.954529', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
22 {'column': 'vwap', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'merged 1s aggregate; if own second tradeless, stale value from earlier second (ffill)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
25 {'column': 'net_delta_1s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'rolling 1 row (== net_delta)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
28 {'column': 'net_delta_5s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
31 {'column': 'net_delta_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
34 {'column': 'net_delta_30s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'rolling 30 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
37 {'column': 'net_delta_60s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'rolling 60 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
40 {'column': 'buy_volume_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_buy', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '0', 'equal_count': '0', 'total_rows': '338158', 'frac': '0.0', 'worst_overhang_ms': '0.0', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'identically 0.0 as built (see buy_volume)'}
43 {'column': 'sell_volume_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_sell', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': 'as built absorbs ALL trades (see sell_volume)'}
46 {'column': 'trade_count_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
49 {'column': 'large_trade_count_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_large', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '23633', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.069887', 'worst_overhang_ms': '999.954529', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
52 {'column': 'vwap_distance', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'trades_all', 'window': 'inherits vwap (mid is snapshot-native)', 'strictly_after_count': '89568', 'equal_count': '20', 'total_rows': '338158', 'frac': '0.26487', 'worst_overhang_ms': '999.996869', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
55 {'column': 'bid_adds', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_bid_add', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '164958', 'equal_count': '1', 'total_rows': '338158', 'frac': '0.487813', 'worst_overhang_ms': '999.996279', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
58 {'column': 'ask_adds', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_ask_add', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '162753', 'equal_count': '4', 'total_rows': '338158', 'frac': '0.481293', 'worst_overhang_ms': '999.999257', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
61 {'column': 'bid_cancels', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_bid_cancel', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '135980', 'equal_count': '23', 'total_rows': '338158', 'frac': '0.40212', 'worst_overhang_ms': '999.998361', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
64 {'column': 'ask_cancels', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_ask_cancel', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '129333', 'equal_count': '22', 'total_rows': '338158', 'frac': '0.382463', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
67 {'column': 'total_events', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_all', 'window': 'merged 1s aggregate (own second)', 'strictly_after_count': '254314', 'equal_count': '29', 'total_rows': '338158', 'frac': '0.752057', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
70 {'column': 'bid_add_rate_5s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_bid_add', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '164958', 'equal_count': '1', 'total_rows': '338158', 'frac': '0.487813', 'worst_overhang_ms': '999.996279', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
73 {'column': 'bid_add_rate_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_bid_add', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '164958', 'equal_count': '1', 'total_rows': '338158', 'frac': '0.487813', 'worst_overhang_ms': '999.996279', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
76 {'column': 'ask_add_rate_5s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_ask_add', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '162753', 'equal_count': '4', 'total_rows': '338158', 'frac': '0.481293', 'worst_overhang_ms': '999.999257', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
79 {'column': 'ask_add_rate_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_ask_add', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '162753', 'equal_count': '4', 'total_rows': '338158', 'frac': '0.481293', 'worst_overhang_ms': '999.999257', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
82 {'column': 'bid_cancel_rate_5s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_bid_cancel', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '135980', 'equal_count': '23', 'total_rows': '338158', 'frac': '0.40212', 'worst_overhang_ms': '999.998361', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
85 {'column': 'bid_cancel_rate_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_bid_cancel', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '135980', 'equal_count': '23', 'total_rows': '338158', 'frac': '0.40212', 'worst_overhang_ms': '999.998361', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
88 {'column': 'ask_cancel_rate_5s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_ask_cancel', 'window': 'rolling 5 rows ending at own row', 'strictly_after_count': '129333', 'equal_count': '22', 'total_rows': '338158', 'frac': '0.382463', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
91 {'column': 'ask_cancel_rate_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_ask_cancel', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '129333', 'equal_count': '22', 'total_rows': '338158', 'frac': '0.382463', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
94 {'column': 'cancel_ratio_asymmetry', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_cancel_any', 'window': 'from bid/ask_cancel_rate_10s', 'strictly_after_count': '179856', 'equal_count': '24', 'total_rows': '338158', 'frac': '0.53187', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
97 {'column': 'event_rate_10s', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_all', 'window': 'rolling 10 rows ending at own row', 'strictly_after_count': '254314', 'equal_count': '29', 'total_rows': '338158', 'frac': '0.752057', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
100 {'column': 'order_flow_accel', 'side': 'corrected', 'boundary': 'claimed_T_prev', 'event_class': 'mbo_all', 'window': 'event_rate_10s.diff(5): rows t-14..t', 'strictly_after_count': '254314', 'equal_count': '29', 'total_rows': '338158', 'frac': '0.752057', 'worst_overhang_ms': '999.999579', 'exactness': 'exact (only own/prev second can exceed boundary)', 'note': ''}
