lattice,inst,month,n_rows,adj_same_second_pairs,adj_exact_dup_ts,file,path,min_gap_ns,median_gap_ns,n_gap_lt_1s
v4_load_snapshots,gc,2025-03,1774483,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-03.parquet,,,
v4_load_snapshots,gc,2025-04,1771203,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-04.parquet,,,
v4_load_snapshots,gc,2025-05,1760441,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-05.parquet,,,
v4_load_snapshots,gc,2025-06,1684802,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-06.parquet,,,
v4_load_snapshots,gc,2025-07,1868365,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-07.parquet,,,
v4_load_snapshots,gc,2025-08,1761718,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-08.parquet,,,
v4_load_snapshots,gc,2025-09,1771196,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-09.parquet,,,
v4_load_snapshots,gc,2025-10,1933204,23,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-10.parquet,,,
v4_load_snapshots,gc,2025-11,1533354,18,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-11.parquet,,,
v4_load_snapshots,gc,2025-12,1845892,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill\gc_snapshots_2025-12.parquet,,,
v4_load_snapshots,gc,ALL12_SORTED,21095855,247,0,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\v4_gapfill,252000.0,1000000000.0,250.0
v4_load_snapshots,zc,2025-01,1346274,14,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-01.parquet,,,
v4_load_snapshots,zc,2025-02,1253998,17,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-02.parquet,,,
v4_load_snapshots,zc,2025-03,1651200,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-03.parquet,,,
v4_load_snapshots,zc,2025-04,1741772,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-04.parquet,,,
v4_load_snapshots,zc,2025-05,1712400,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-05.parquet,,,
v4_load_snapshots,zc,2025-06,1646400,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-06.parquet,,,
v4_load_snapshots,zc,2025-07,1828610,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-07.parquet,,,
v4_load_snapshots,zc,2025-08,1712400,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-08.parquet,,,
v4_load_snapshots,zc,2025-09,1732800,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-09.parquet,,,
v4_load_snapshots,zc,2025-10,1885200,23,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-10.parquet,,,
v4_load_snapshots,zc,2025-11,1188000,17,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-11.parquet,,,
v4_load_snapshots,zc,2025-12,1407899,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill\zc_snapshots_2025-12.parquet,,,
v4_load_snapshots,zc,ALL12_SORTED,19106953,237,0,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\v4_gapfill,3375000.0,1000000000.0,250.0
v4_load_snapshots,zs,2025-01,1346211,18,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-01.parquet,,,
v4_load_snapshots,zs,2025-02,1254000,13,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-02.parquet,,,
v4_load_snapshots,zs,2025-03,1651200,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-03.parquet,,,
v4_load_snapshots,zs,2025-04,1742386,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-04.parquet,,,
v4_load_snapshots,zs,2025-05,1712400,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-05.parquet,,,
v4_load_snapshots,zs,2025-06,1646400,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-06.parquet,,,
v4_load_snapshots,zs,2025-07,1828721,22,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-07.parquet,,,
v4_load_snapshots,zs,2025-08,1712400,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-08.parquet,,,
v4_load_snapshots,zs,2025-09,1732800,21,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-09.parquet,,,
v4_load_snapshots,zs,2025-10,1885200,23,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-10.parquet,,,
v4_load_snapshots,zs,2025-11,1188000,13,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-11.parquet,,,
v4_load_snapshots,zs,2025-12,1407900,17,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill\zs_snapshots_2025-12.parquet,,,
v4_load_snapshots,zs,ALL12_SORTED,19107618,229,0,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\v4_gapfill,998000.0,1000000000.0,250.0
v4_load_snapshots,he,2025-01,343499,15,1,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-01.parquet,,,
v4_load_snapshots,he,2025-02,313500,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-02.parquet,,,
v4_load_snapshots,he,2025-03,346435,15,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-03.parquet,,,
v4_load_snapshots,he,2025-04,346496,10,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-04.parquet,,,
v4_load_snapshots,he,2025-05,346430,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-05.parquet,,,
v4_load_snapshots,he,2025-06,329937,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-06.parquet,,,
v4_load_snapshots,he,2025-07,362994,11,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-07.parquet,,,
v4_load_snapshots,he,2025-08,346496,15,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-08.parquet,,,
v4_load_snapshots,he,2025-09,346488,14,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-09.parquet,,,
v4_load_snapshots,he,2025-10,379494,17,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-10.parquet,,,
v4_load_snapshots,he,2025-11,309895,14,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-11.parquet,,,
v4_load_snapshots,he,2025-12,359992,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-12.parquet,,,
v4_load_snapshots,he,ALL12_SORTED,4131656,166,1,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he,0.0,1000000000.0,251.0
v4_load_snapshots,le,2025-01,343507,14,1,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-01.parquet,,,
v4_load_snapshots,le,2025-02,313500,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-02.parquet,,,
v4_load_snapshots,le,2025-03,346500,11,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-03.parquet,,,
v4_load_snapshots,le,2025-04,346492,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-04.parquet,,,
v4_load_snapshots,le,2025-05,346498,13,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-05.parquet,,,
v4_load_snapshots,le,2025-06,329997,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-06.parquet,,,
v4_load_snapshots,le,2025-07,362995,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-07.parquet,,,
v4_load_snapshots,le,2025-08,346498,13,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-08.parquet,,,
v4_load_snapshots,le,2025-09,346495,15,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-09.parquet,,,
v4_load_snapshots,le,2025-10,379499,14,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-10.parquet,,,
v4_load_snapshots,le,2025-11,309899,9,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-11.parquet,,,
v4_load_snapshots,le,2025-12,359997,12,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-12.parquet,,,
v4_load_snapshots,le,ALL12_SORTED,4131877,149,1,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le,0.0,1000000000.0,251.0
phase5_processed_root,zc,2025-01,1262191,20,1,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-01.parquet,,,
phase5_processed_root,zc,2025-08,1666968,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc\zc_snapshots_2025-08.parquet,,,
phase5_processed_root,zc,ALL12_SORTED,2929159,297426,101651,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zc,0.0,1000000000.0,459062.0
phase5_processed_root,zs,2025-01,1275375,16,1,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\zs_snapshots_2025-01.parquet,,,
phase5_processed_root,zs,2025-08,1597846,17,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs\zs_snapshots_2025-08.parquet,,,
phase5_processed_root,zs,ALL12_SORTED,2873221,200437,56272,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\zs,0.0,1000000000.0,326773.0
phase5_processed_root,gc,2025-01,1884670,20,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-01.parquet,,,
phase5_processed_root,gc,2025-08,1851278,19,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc\gc_snapshots_2025-08.parquet,,,
phase5_processed_root,gc,ALL12_SORTED,3735948,172496,21293,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\gc,0.0,1000000000.0,318270.0
phase5_processed_root,cl,2025-01,1939381,18,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-01.parquet,,,
phase5_processed_root,cl,2025-08,1809537,15,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-08.parquet,,,
phase5_processed_root,cl,ALL12_SORTED,3748918,177786,21337,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl,0.0,1000000000.0,327888.0
phase5_processed_root,es,2025-01,1811402,30,1,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-01.parquet,,,
phase5_processed_root,es,2025-08,1757598,25,4,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-08.parquet,,,
phase5_processed_root,es,ALL12_SORTED,3569000,55,5,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es,0.0,1000000000.0,60.0
phase5_processed_root,he,2025-01,343499,15,1,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-01.parquet,,,
phase5_processed_root,he,2025-08,346496,15,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he\he_snapshots_2025-08.parquet,,,
phase5_processed_root,he,ALL12_SORTED,689995,30,1,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\he,0.0,1000000000.0,42.0
phase5_processed_root,le,2025-01,343507,14,1,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-01.parquet,,,
phase5_processed_root,le,2025-08,346498,13,0,PRESENT,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le\le_snapshots_2025-08.parquet,,,
phase5_processed_root,le,ALL12_SORTED,690005,27,1,AGG,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\le,0.0,1000000000.0,42.0
