shape: (168, 8)
┌────────────┬─────────┬────────────────┬─────────────┬──────────────────┬────────────────┬─────────────┬───────────────────┐
│ instrument ┆ month   ┆ class          ┆ strict_viol ┆ same_second_viol ┆ exception_viol ┆ cohort_size ┆ nonviol_in_cohort │
│ cl         ┆ 2025-08 ┆ mbo_all        ┆ 27852       ┆ 27852            ┆ 0              ┆ 50518       ┆ 22666             │
│ cl         ┆ 2025-08 ┆ mbo_ask_add    ┆ 18586       ┆ 18586            ┆ 0              ┆ 50518       ┆ 31932             │
│ cl         ┆ 2025-08 ┆ mbo_ask_cancel ┆ 17988       ┆ 17988            ┆ 0              ┆ 50518       ┆ 32530             │
│ cl         ┆ 2025-08 ┆ mbo_bid_add    ┆ 18374       ┆ 18374            ┆ 0              ┆ 50518       ┆ 32144             │
│ cl         ┆ 2025-08 ┆ mbo_bid_cancel ┆ 17902       ┆ 17902            ┆ 0              ┆ 50518       ┆ 32616             │
│ cl         ┆ 2025-08 ┆ mbo_cancel_any ┆ 22428       ┆ 22428            ┆ 0              ┆ 50518       ┆ 28090             │
│ cl         ┆ 2025-08 ┆ trades_all     ┆ 9048        ┆ 9048             ┆ 0              ┆ 50518       ┆ 41470             │
│ cl         ┆ 2025-08 ┆ trades_large   ┆ 771         ┆ 771              ┆ 0              ┆ 50518       ┆ 49747             │
│ cl         ┆ 2025-08 ┆ trades_sell    ┆ 9048        ┆ 9048             ┆ 0              ┆ 50518       ┆ 41470             │
│ gc         ┆ 2025-08 ┆ mbo_all        ┆ 42886       ┆ 42886            ┆ 0              ┆ 74485       ┆ 31599             │
│ gc         ┆ 2025-08 ┆ mbo_ask_add    ┆ 28636       ┆ 28636            ┆ 0              ┆ 74485       ┆ 45849             │
│ gc         ┆ 2025-08 ┆ mbo_ask_cancel ┆ 28457       ┆ 28457            ┆ 0              ┆ 74485       ┆ 46028             │
│ gc         ┆ 2025-08 ┆ mbo_bid_add    ┆ 29001       ┆ 29001            ┆ 0              ┆ 74485       ┆ 45484             │
│ gc         ┆ 2025-08 ┆ mbo_bid_cancel ┆ 28194       ┆ 28194            ┆ 0              ┆ 74485       ┆ 46291             │
│ gc         ┆ 2025-08 ┆ mbo_cancel_any ┆ 35509       ┆ 35509            ┆ 0              ┆ 74485       ┆ 38976             │
│ gc         ┆ 2025-08 ┆ trades_all     ┆ 16051       ┆ 16051            ┆ 0              ┆ 74485       ┆ 58434             │
│ gc         ┆ 2025-08 ┆ trades_large   ┆ 232         ┆ 232              ┆ 0              ┆ 74485       ┆ 74253             │
│ gc         ┆ 2025-08 ┆ trades_sell    ┆ 16051       ┆ 16051            ┆ 0              ┆ 74485       ┆ 58434             │
│ zc         ┆ 2025-08 ┆ mbo_all        ┆ 90868       ┆ 90868            ┆ 0              ┆ 211450      ┆ 120582            │
│ zc         ┆ 2025-08 ┆ mbo_ask_add    ┆ 47496       ┆ 47496            ┆ 0              ┆ 211450      ┆ 163954            │
│ zc         ┆ 2025-08 ┆ mbo_ask_cancel ┆ 34311       ┆ 34311            ┆ 0              ┆ 211450      ┆ 177139            │
│ zc         ┆ 2025-08 ┆ mbo_bid_add    ┆ 46280       ┆ 46280            ┆ 0              ┆ 211450      ┆ 165170            │
│ zc         ┆ 2025-08 ┆ mbo_bid_cancel ┆ 34610       ┆ 34610            ┆ 0              ┆ 211450      ┆ 176840            │
│ zc         ┆ 2025-08 ┆ mbo_cancel_any ┆ 53074       ┆ 53074            ┆ 0              ┆ 211450      ┆ 158376            │
│ zc         ┆ 2025-08 ┆ trades_all     ┆ 23755       ┆ 23755            ┆ 0              ┆ 211450      ┆ 187695            │
│ zc         ┆ 2025-08 ┆ trades_large   ┆ 5567        ┆ 5567             ┆ 0              ┆ 211450      ┆ 205883            │
│ zc         ┆ 2025-08 ┆ trades_sell    ┆ 23755       ┆ 23755            ┆ 0              ┆ 211450      ┆ 187695            │
│ zs         ┆ 2025-08 ┆ mbo_all        ┆ 64404       ┆ 64404            ┆ 0              ┆ 132212      ┆ 67808             │
│ zs         ┆ 2025-08 ┆ mbo_ask_add    ┆ 39319       ┆ 39319            ┆ 0              ┆ 132212      ┆ 92893             │
│ zs         ┆ 2025-08 ┆ mbo_ask_cancel ┆ 33614       ┆ 33614            ┆ 0              ┆ 132212      ┆ 98598             │
│ zs         ┆ 2025-08 ┆ mbo_bid_add    ┆ 39806       ┆ 39806            ┆ 0              ┆ 132212      ┆ 92406             │
│ zs         ┆ 2025-08 ┆ mbo_bid_cancel ┆ 34379       ┆ 34379            ┆ 0              ┆ 132212      ┆ 97833             │
│ zs         ┆ 2025-08 ┆ mbo_cancel_any ┆ 46125       ┆ 46125            ┆ 0              ┆ 132212      ┆ 86087             │
│ zs         ┆ 2025-08 ┆ trades_all     ┆ 17717       ┆ 17717            ┆ 0              ┆ 132212      ┆ 114495            │
│ zs         ┆ 2025-08 ┆ trades_large   ┆ 4511        ┆ 4511             ┆ 0              ┆ 132212      ┆ 127701            │
│ zs         ┆ 2025-08 ┆ trades_sell    ┆ 17717       ┆ 17717            ┆ 0              ┆ 132212      ┆ 114495            │
│ cl         ┆ 2025-09 ┆ mbo_all        ┆ 34010       ┆ 34010            ┆ 0              ┆ 57375       ┆ 23365             │
│ cl         ┆ 2025-09 ┆ mbo_ask_add    ┆ 23009       ┆ 23009            ┆ 0              ┆ 57375       ┆ 34366             │
│ cl         ┆ 2025-09 ┆ mbo_ask_cancel ┆ 22232       ┆ 22232            ┆ 0              ┆ 57375       ┆ 35143             │
│ cl         ┆ 2025-09 ┆ mbo_bid_add    ┆ 23072       ┆ 23072            ┆ 0              ┆ 57375       ┆ 34303             │
│ cl         ┆ 2025-09 ┆ mbo_bid_cancel ┆ 22200       ┆ 22200            ┆ 0              ┆ 57375       ┆ 35175             │
│ cl         ┆ 2025-09 ┆ mbo_cancel_any ┆ 27739       ┆ 27739            ┆ 0              ┆ 57375       ┆ 29636             │
│ cl         ┆ 2025-09 ┆ trades_all     ┆ 10803       ┆ 10803            ┆ 0              ┆ 57375       ┆ 46572             │
│ cl         ┆ 2025-09 ┆ trades_large 
