instrument,month,class,strict_viol,same_second_viol,exception_viol,cohort_size,nonviol_in_cohort,corrected_rows,noncohort_rows_with_absorbed_events,max_ts_event_minus_T_outside_cohort_ns
cl,2025-10,mbo_all_rows,43380,43380,0,73870,30490,745569,554224,-25
gc,2025-10,trades_all,37913,37913,0,93457,55544,772447,433625,-931
gc,2025-10,trades_buy,0,0,0,93457,93457,772447,0,
gc,2025-10,trades_sell,37913,37913,0,93457,55544,772447,433625,-931
gc,2025-10,trades_large,459,459,0,93457,92998,772447,5329,-91269
gc,2025-10,mbo_all,71584,71584,0,93457,21873,772447,633533,-53
gc,2025-10,mbo_bid_add,60317,60317,0,93457,33140,772447,589717,-53
gc,2025-10,mbo_ask_add,60180,60180,0,93457,33277,772447,588922,-449
gc,2025-10,mbo_bid_cancel,58569,58569,0,93457,34888,772447,588426,-551
gc,2025-10,mbo_ask_cancel,59018,59018,0,93457,34439,772447,589269,-633
gc,2025-10,mbo_cancel_any,65553,65553,0,93457,27904,772447,616190,-551
gc,2025-10,mbo_all_rows,72537,72537,0,93457,20920,772447,636872,-17
zc,2025-10,trades_all,34492,34492,0,265192,230700,634445,98391,-5431
zc,2025-10,trades_buy,0,0,0,265192,265192,634445,0,
zc,2025-10,trades_sell,34492,34492,0,265192,230700,634445,98391,-5431
zc,2025-10,trades_large,6945,6945,0,265192,258247,634445,19821,-13335
zc,2025-10,mbo_all,109332,109332,0,265192,155860,634445,270971,-261
zc,2025-10,mbo_bid_add,57674,57674,0,265192,207518,634445,158144,-261
zc,2025-10,mbo_ask_add,56355,56355,0,265192,208837,634445,156789,-319
zc,2025-10,mbo_bid_cancel,41113,41113,0,265192,224079,634445,116854,-1033
zc,2025-10,mbo_ask_cancel,39159,39159,0,265192,226033,634445,113702,-1033
zc,2025-10,mbo_cancel_any,60660,60660,0,265192,204532,634445,168478,-1033
zs,2025-10,trades_all,16397,16397,0,143072,126675,508910,95496,-2821
zs,2025-10,trades_buy,0,0,0,143072,143072,508910,0,
zs,2025-10,trades_sell,16397,16397,0,143072,126675,508910,95496,-2821
zs,2025-10,trades_large,3543,3543,0,143072,139529,508910,19614,-46005
zs,2025-10,mbo_all,60559,60559,0,143072,82513,508910,289857,-73
zs,2025-10,mbo_bid_add,36563,36563,0,143072,106509,508910,196164,-351
zs,2025-10,mbo_ask_add,36303,36303,0,143072,106769,508910,191012,-73
zs,2025-10,mbo_bid_cancel,31435,31435,0,143072,111637,508910,171672,-89
zs,2025-10,mbo_ask_cancel,30059,30059,0,143072,113013,508910,164227,-385
zs,2025-10,mbo_cancel_any,42588,42588,0,143072,100484,508910,221982,-89
he,2025-10,trades_all,0,0,0,17,17,338110,41168,-25101
he,2025-10,trades_buy,0,0,0,17,17,338110,0,
he,2025-10,trades_sell,0,0,0,17,17,338110,41168,-25101
he,2025-10,trades_large,0,0,0,17,17,338110,3245,-67043
he,2025-10,mbo_all,0,0,0,17,17,338110,145739,-2061
he,2025-10,mbo_bid_add,0,0,0,17,17,338110,71335,-7575
he,2025-10,mbo_ask_add,0,0,0,17,17,338110,77022,-2061
he,2025-10,mbo_bid_cancel,0,0,0,17,17,338110,66141,-8175
he,2025-10,mbo_ask_cancel,0,0,0,17,17,338110,63074,-37697
he,2025-10,mbo_cancel_any,0,0,0,17,17,338110,93466,-8175
le,2025-10,trades_all,0,0,0,14,14,338112,78164,-15283
le,2025-10,trades_buy,0,0,0,14,14,338112,0,
le,2025-10,trades_sell,0,0,0,14,14,338112,78164,-15283
le,2025-10,trades_large,0,0,0,14,14,338112,1807,-679169
le,2025-10,mbo_all,0,0,0,14,14,338112,206521,-1465
le,2025-10,mbo_bid_add,0,0,0,14,14,338112,127893,-1465
le,2025-10,mbo_ask_add,0,0,0,14,14,338112,132513,-3109
le,2025-10,mbo_bid_cancel,0,0,0,14,14,338112,125408,-11183
le,2025-10,mbo_ask_cancel,0,0,0,14,14,338112,127174,-5805
le,2025-10,mbo_cancel_any,0,0,0,14,14,338112,161547,-5805
es,2025-11,trades_all,0,0,0,3,3,549423,484943,-9554
es,2025-11,trades_buy,0,0,0,3,3,549423,0,
es,2025-11,trades_sell,0,0,0,3,3,549423,484943,-9554
es,2025-11,trades_large,0,0,0,3,3,549423,228243,-12190
es,2025-11,mbo_all,0,0,0,3,3,549423,542615,-9356
es,2025-11,mbo_bid_add,0,0,0,3,3,549423,533287,-9486
es,2025-11,mbo_ask_add,0,0,0,3,3,549423,532911,-9398
es,2025-11,mbo_bid_cancel,0,0,0,3,3,549423,532464,-9372
es,2025-11,mbo_ask_cancel,0,0,0,3,3,549423,531968,-9356
es,2025-11,mbo_cancel_any,0,0,0,3,3,549423,539369,-9356
es,2025-11,mbo_all_rows,0,0,0,3,3,549423,543127,-9356
nq,2025-11,trades_all,0,0,0,3,3,550463,499396,-8564
nq,2025-11,trades_buy,0,0,0,3,3,550463,0,
nq,2025-11,trades_sell,0,0,0,3,3,550463,499396,-8564
nq,2025-11,trades_large,0,0,0,3,3,550463,9890,-13658
cl,2025-11,trades_all,15345,15345,0,71964,56619,703999,209334,-8153
cl,2025-11,trades_buy,0,0,0,71964,71964,703999,0,
cl,2025-11,trades_sell,15345,15345,0,71964,56619,703999,209334,-8153
cl,2025-11,trades_large,1515,1515,0,71964,70449,703999,18223,-858671
cl,2025-11,mbo_all,48607,48607,0,71964,23357,703999,526504,-793
cl,2025-11,mbo_bid_add,34382,34382,0,71964,37582,703999,417270,-2293
cl,2025-11,mbo_ask_add,34636,34636,0,71964,37328,703999,416146,-1917
cl,2025-11,mbo_bid_cancel,33867,33867,0,71964,38097,703999,411922,-2233
cl,2025-11,mbo_ask_cancel,33642,33642,0,71964,38322,703999,411078,-6849
cl,2025-11,mbo_cancel_any,40924,40924,0,71964,31040,703999,471830,-2233
gc,2025-11,trades_all,12764,12764,0,49593,36829,674038,312311,-21
gc,2025-11,trades_buy,0,0,0,49593,49593,674038,0,
gc,2025-11,trades_sell,12764,12764,0,49593,36829,674038,312311,-21
gc,2025-11,trades_large,75,75,0,49593,49518,674038,2570,-5815251
gc,2025-11,mbo_all,30577,30577,0,49593,19016,674038,539123,-21
gc,2025-11,mbo_bid_add,24039,24039,0,49593,25554,674038,482745,-1103
gc,2025-11,mbo_ask_add,24204,24204,0,49593,25389,674038,484658,-651
gc,2025-11,mbo_bid_cancel,23196,23196,0,49593,26397,674038,480820,-191
gc,2025-11,mbo_ask_cancel,23425,23425,0,49593,26168,674038,483407,-21
gc,2025-11,mbo_cancel_any,26964,26964,0,49593,22629,674038,516477,-21
gc,2025-11,mbo_all_rows,31218,31218,0,49593,18375,674038,545286,-21
zc,2025-11,trades_all,0,0,0,0,0,304505,77919,-10269
zc,2025-11,trades_buy,0,0,0,0,0,304505,0,
zc,2025-11,trades_sell,0,0,0,0,0,304505,77919,-10269
zc,2025-11,trades_large,0,0,0,0,0,304505,17274,-22901
zc,2025-11,mbo_all,0,0,0,0,0,304505,220841,-109
zc,2025-11,mbo_bid_add,0,0,0,0,0,304505,132399,-14377
zc,2025-11,mbo_ask_add,0,0,0,0,0,304505,130551,-109
zc,2025-11,mbo_bid_cancel,0,0,0,0,0,304505,102747,-6865
zc,2025-11,mbo_ask_cancel,0,0,0,0,0,304505,97840,-2093
zc,2025-11,mbo_cancel_any,0,0,0,0,0,304505,145080,-2093
zs,2025-11,trades_all,0,0,0,0,0,304505,87591,-5197
zs,2025-11,trades_buy,0,0,0,0,0,304505,0,
zs,2025-11,trades_sell,0,0,0,0,0,304505,87591,-5197
zs,2025-11,trades_large,0,0,0,0,0,304505,18791,-174257
zs,2025-11,mbo_all,0,0,0,0,0,304505,250692,-139
zs,2025-11,mbo_bid_add,0,0,0,0,0,304505,179524,-153
zs,2025-11,mbo_ask_add,0,0,0,0,0,304505,172084,-951
zs,2025-11,mbo_bid_cancel,0,0,0,0,0,304505,161290,-1127
zs,2025-11,mbo_ask_cancel,0,0,0,0,0,304505,154931,-139
zs,2025-11,mbo_cancel_any,0,0,0,0,0,304505,200947,-139
he,2025-11,trades_all,0,0,0,0,0,304486,49193,-2435
he,2025-11,trades_buy,0,0,0,0,0,304486,0,
he,2025-11,trades_sell,0,0,0,0,0,304486,49193,-2435
he,2025-11,trades_large,0,0,0,0,0,304486,2525,-186557
he,2025-11,mbo_all,0,0,0,0,0,304486,149766,-2435
he,2025-11,mbo_bid_add,0,0,0,0,0,304486,80700,-12667
he,2025-11,mbo_ask_add,0,0,0,0,0,304486,85374,-13529
he,2025-11,mbo_bid_cancel,0,0,0,0,0,304486,76242,-26669
he,2025-11,mbo_ask_cancel,0,0,0,0,0,304486,74741,-32841
he,2025-11,mbo_cancel_any,0,0,0,0,0,304486,104658,-26669
le,2025-11,trades_all,0,0,0,0,0,304491,68584,-28449
le,2025-11,trades_buy,0,0,0,0,0,304491,0,
le,2025-11,trades_sell,0,0,0,0,0,304491,68584,-28449
le,2025-11,trades_large,0,0,0,0,0,304491,1233,-1731755
le,2025-11,mbo_all,0,0,0,0,0,304491,175859,-5
le,2025-11,mbo_bid_add,0,0,0,0,0,304491,113080,-5
le,2025-11,mbo_ask_add,0,0,0,0,0,304491,120111,-4577
le,2025-11,mbo_bid_cancel,0,0,0,0,0,304491,113136,-9139
le,2025-11,mbo_ask_cancel,0,0,0,0,0,304491,114407,-15741
le,2025-11,mbo_cancel_any,0,0,0,0,0,304491,143686,-9139
es,2025-12,trades_all,0,0,0,6,6,620107,499079,-9722
