ordinal,column,feature_block,source_class,raw_source_traced,parent_columns,mbo_fed,construction_line_numbers,construction_line_quote,upstream_line_numbers
16,net_delta_30s,L1,trades parquet,"trades_tagged parquet: aggressor_side, size",,NO,238-239,"for w in [1, 5, 10, 30, 60]:
snap[f""net_delta_{w}s""] = snap[""net_delta""].rolling(w, min_periods=1).sum()","207-209,217,231; 199,201"
17,net_delta_60s,L1,trades parquet,"trades_tagged parquet: aggressor_side, size",,NO,238-239,"for w in [1, 5, 10, 30, 60]:
snap[f""net_delta_{w}s""] = snap[""net_delta""].rolling(w, min_periods=1).sum()","207-209,217,231; 199,201"
18,buy_volume_10s,L1,trades parquet,"trades_tagged parquet: aggressor_side, size",,NO,240,"snap[""buy_volume_10s""] = snap[""buy_volume""].rolling(10, min_periods=1).sum()","207-208,210,218,231; 199,201"
19,sell_volume_10s,L1,trades parquet,"trades_tagged parquet: aggressor_side, size",,NO,241,"snap[""sell_volume_10s""] = snap[""sell_volume""].rolling(10, min_periods=1).sum()","207-208,211,219,231; 199,201"
20,large_trade_count_10s,L1,trades parquet,trades_tagged parquet: size,,NO,242,"snap[""large_trade_count_10s""] = snap[""large_trade_count""].rolling(10, min_periods=1).sum()","212,222,231; 199,201"
21,vwap_distance,L1,MIXED: snapshot parquet + trades parquet,"snapshot parquet: mid_price; trades_tagged parquet: price, size",,NO,243,"snap[""vwap_distance""] = (mid - snap[""vwap""]) / tick","149,224-225,235,231; 135,139; 199,201"
22,bid_size_1,L2,snapshot parquet,snapshot parquet: bid_size_1 (raw pass-through),,NO,139,snap = pq.read_table(str(sp)).to_pandas(),174
23,ask_size_1,L2,snapshot parquet,snapshot parquet: ask_size_1 (raw pass-through),,NO,139,snap = pq.read_table(str(sp)).to_pandas(),174
24,total_bid_depth,L2,snapshot parquet,snapshot parquet: bid_size_1..5,,NO,169,"snap[""total_bid_depth""] = snap[bid_cols].sum(axis=1)","167; 135,139"
25,total_ask_depth,L2,snapshot parquet,snapshot parquet: ask_size_1..5,,NO,170,"snap[""total_ask_depth""] = snap[ask_cols].sum(axis=1)","168; 135,139"
26,book_imbalance_ratio,L2,derived-from-another-column,"snapshot parquet: bid_size_1..5, ask_size_1..5",total_bid_depth|total_ask_depth,NO,188-189,"snap[""book_imbalance_ratio""] = (snap[""total_bid_depth""] /
snap[""total_ask_depth""].replace(0, np.nan)).fillna(1.0)",167-170
27,weighted_mid,L2,snapshot parquet,"snapshot parquet: bid_price_1, ask_price_1, bid_size_1, ask_size_1, mid_price",,NO,184-187,"snap[""weighted_mid""] = (snap[""bid_price_1""] * snap[""ask_size_1""] +
snap[""ask_price_1""] * snap[""bid_size_1""]) / \
(snap[""bid_size_1""] + snap[""ask_size_1""]).replace(0, np.nan)
snap[""weighted_mid""] = (snap[""weighted_mid""] - mid) / tick  # distance from mid in ticks","149; 135,139"
28,spread_ticks,L2,snapshot parquet,snapshot parquet: spread,,NO,142,"snap[""spread_ticks""] = snap[""spread""] / tick","141; 135,139"
29,depth_imbalance,L2,derived-from-another-column,"snapshot parquet: bid_size_1..5, ask_size_1..5",total_bid_depth|total_ask_depth,NO,172-173,"snap[""depth_imbalance""] = ((snap[""total_bid_depth""] - snap[""total_ask_depth""]) /
td.replace(0, np.nan)).fillna(0)",171
30,book_slope_bid,L2,snapshot parquet,snapshot parquet: bid_size_1..5,,NO,178,"snap[""book_slope_bid""] = (snap[""bid_size_1""] - snap[bid_cols[-1]]) / max(nb - 1, 1) if nb >= 2 else 0.0","167; 135,139"
31,book_slope_ask,L2,snapshot parquet,snapshot parquet: ask_size_1..5,,NO,179,"snap[""book_slope_ask""] = (snap[""ask_size_1""] - snap[ask_cols[-1]]) / max(na - 1, 1) if na >= 2 else 0.0","168; 135,139"
32,depth_change_1s,L2,derived-from-another-column,"snapshot parquet: bid_size_1..5, ask_size_1..5",total_bid_depth|total_ask_depth,NO,180-181,"for lag in [1, 5, 30]:
snap[f""depth_change_{lag}s""] = td.diff(lag)",171
33,depth_change_5s,L2,derived-from-another-column,"snapshot parquet: bid_size_1..5, ask_size_1..5",total_bid_depth|total_ask_depth,NO,180-181,"for lag in [1, 5, 30]:
snap[f""depth_change_{lag}s""] = td.diff(lag)",171
34,depth_change_30s,L2,derived-from-another-column,"snapshot parquet: bid_size_1..5, ask_size_1..5",total_bid_depth|total_ask_depth,NO,180-181,"for lag in [1, 5, 30]:
snap[f""depth_change_{lag}s""] = td.diff(lag)",171
35,l1_imbalance,L2,derived-from-another-column,"snapshot parquet: bid_size_1, ask_size_1",bid_size_1|ask_size_1,NO,174-175,"snap[""l1_imbalance""] = ((snap[""bid_size_1""] - snap[""ask_size_1""]) /
(snap[""bid_size_1""] + snap[""ask_size_1""]).replace(0, np.nan)).fillna(0)","135,139"
