instrument,month,location_family,rel_path,abs_path,size_bytes,mtime_utc,sha256,md5,day_start_utc,day_end_utc,total_rows,filtered_rows,ts_min_ns,ts_max_ns,subsecond_spacing_rows,nonexact_1s_gap_rows,n_columns,generation,is_fixture_path,manifest_by_path,manifest_line,manifest_md5,manifest_status,manifest_by_md5,native_blocks,overlapping_block_pairs,max_rows_per_timestamp,duplicate_timestamps,filtered_distinct_seconds,filtered_max_rows_per_second,filtered_excess_rows
cl,2025-09,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\cl\v4_gapfill\cl_snapshots_2025-09.parquet,27462336,2026-04-17T09:35:18Z,f66e26fc6a668161827589371066ae32617cd8ca99321eddbac63168aa1f7659,ad329942d1a4f3354935adef15d66c17,13,22,1771204,666008,1756818000000063053,1759269599000078087,4,24,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,40,ad329942d1a4f3354935adef15d66c17,MATCH,PC2_TRANSFER_v4/manifest.csv:L40->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-09.parquet; PC2_TRANSFER_v4/manifest.csv:L40->processed/cl/v4_gapfill/cl_snapshots_2025-09.parquet,,,,,,,
cl,2025-09,B_processed_v4_gapfill,processed/cl/v4_gapfill/cl_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-09.parquet,27462336,2026-04-17T09:35:18Z,f66e26fc6a668161827589371066ae32617cd8ca99321eddbac63168aa1f7659,ad329942d1a4f3354935adef15d66c17,13,22,1771204,666008,1756818000000063053,1759269599000078087,4,24,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,40,ad329942d1a4f3354935adef15d66c17,MATCH,PC2_TRANSFER_v4/manifest.csv:L40->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-09.parquet; PC2_TRANSFER_v4/manifest.csv:L40->processed/cl/v4_gapfill/cl_snapshots_2025-09.parquet,1,0,1,0,666004,2,4
cl,2025-10,E_pc2_transfer_processed,pc2_transfer/processed/cl/cl_snapshots_2025-10.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\cl\cl_snapshots_2025-10.parquet,33570270,2026-04-01T16:24:21Z,a9fd322ab25be230dbfa5f950ff0b5c488aa9b0374c1b71e0308eb10f1710fc9,ac0acc22b0b14e6d762d5cb11b76c747,13,22,2004152,745570,1759150800261523063,1761944399271271549,138271,138617,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
cl,2025-10,A_processed_FIXTURE_PATH,processed/cl/cl_snapshots_2025-10.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-10.parquet,33570270,2026-04-01T16:24:21Z,a9fd322ab25be230dbfa5f950ff0b5c488aa9b0374c1b71e0308eb10f1710fc9,ac0acc22b0b14e6d762d5cb11b76c747,13,22,2004152,745570,1759150800261523063,1761944399271271549,138271,138617,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",19,18,5,7794,671700,5,73870
cl,2025-10,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-10.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\cl\v4_gapfill\cl_snapshots_2025-10.parquet,32131274,2026-04-17T09:38:33Z,751c24df134703c94a89fe879ec8fa9101f2c550f24da6e444e93124dff37fda,06b3646a2362a7cf9a4a34cbdd8ef07c,13,22,1933205,727210,1759323600015978145,1761944400080009591,5,27,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,41,06b3646a2362a7cf9a4a34cbdd8ef07c,MATCH,PC2_TRANSFER_v4/manifest.csv:L41->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-10.parquet; PC2_TRANSFER_v4/manifest.csv:L41->processed/cl/v4_gapfill/cl_snapshots_2025-10.parquet,,,,,,,
cl,2025-10,B_processed_v4_gapfill,processed/cl/v4_gapfill/cl_snapshots_2025-10.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-10.parquet,32131274,2026-04-17T09:38:33Z,751c24df134703c94a89fe879ec8fa9101f2c550f24da6e444e93124dff37fda,06b3646a2362a7cf9a4a34cbdd8ef07c,13,22,1933205,727210,1759323600015978145,1761944400080009591,5,27,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,41,06b3646a2362a7cf9a4a34cbdd8ef07c,MATCH,PC2_TRANSFER_v4/manifest.csv:L41->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-10.parquet; PC2_TRANSFER_v4/manifest.csv:L41->processed/cl/v4_gapfill/cl_snapshots_2025-10.parquet,1,0,1,0,727205,2,5
cl,2025-11,E_pc2_transfer_processed,pc2_transfer/processed/cl/cl_snapshots_2025-11.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\cl\cl_snapshots_2025-11.parquet,27931466,2026-04-01T16:32:15Z,937ac6797b490c4f665fe10ab2165df6c9998df8a5affece53b82eb933c2d88f,9608a7d02026330f9c0773a84158da39,13,22,1695341,704000,1762088407442939347,1764359100080010507,134687,134751,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
cl,2025-11,A_processed_FIXTURE_PATH,processed/cl/cl_snapshots_2025-11.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-11.parquet,27931466,2026-04-01T16:32:15Z,937ac6797b490c4f665fe10ab2165df6c9998df8a5affece53b82eb933c2d88f,9608a7d02026330f9c0773a84158da39,13,22,1695341,704000,1762088407442939347,1764359100080010507,134687,134751,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",17,16,5,6414,632036,5,71964
cl,2025-11,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-11.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\cl\v4_gapfill\cl_snapshots_2025-11.parquet,25918490,2026-04-17T09:40:55Z,28083b67d8f5a94e5d5a5975a62ce5027079571b55404661faf47a33d4942cab,8bd4e83f1cd0b873d102bb0b6dc478f7,13,22,1533539,583200,1762174800000016655,1764194399150682865,0,17,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,42,8bd4e83f1cd0b873d102bb0b6dc478f7,MATCH,PC2_TRANSFER_v4/manifest.csv:L42->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-11.parquet; PC2_TRANSFER_v4/manifest.csv:L42->processed/cl/v4_gapfill/cl_snapshots_2025-11.parquet,,,,,,,
cl,2025-11,B_processed_v4_gapfill,processed/cl/v4_gapfill/cl_snapshots_2025-11.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-11.parquet,25918490,2026-04-17T09:40:55Z,28083b67d8f5a94e5d5a5975a62ce5027079571b55404661faf47a33d4942cab,8bd4e83f1cd0b873d102bb0b6dc478f7,13,22,1533539,583200,1762174800000016655,1764194399150682865,0,17,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,42,8bd4e83f1cd0b873d102bb0b6dc478f7,MATCH,PC2_TRANSFER_v4/manifest.csv:L42->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-11.parquet; PC2_TRANSFER_v4/manifest.csv:L42->processed/cl/v4_gapfill/cl_snapshots_2025-11.parquet,1,0,1,0,583200,1,0
cl,2025-12,E_pc2_transfer_processed,pc2_transfer/processed/cl/cl_snapshots_2025-12.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\cl\cl_snapshots_2025-12.parquet,29382838,2026-04-01T16:38:45Z,9d251b1aed55cb195b99a95fa87df214769027741824b7dd7841e7b6addef8f1,4b47a26711f781fe882c4314e4152914,13,22,1914834,768532,1764507607781043731,1767218399708494719,124604,124630,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
cl,2025-12,A_processed_FIXTURE_PATH,processed/cl/cl_snapshots_2025-12.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\cl_snapshots_2025-12.parquet,29382838,2026-04-01T16:38:45Z,9d251b1aed55cb195b99a95fa87df214769027741824b7dd7841e7b6addef8f1,4b47a26711f781fe882c4314e4152914,13,22,1914834,768532,1764507607781043731,1767218399708494719,124604,124630,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",19,18,5,11046,701106,5,67426
cl,2025-12,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-12.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\cl\v4_gapfill\cl_snapshots_2025-12.parquet,28555621,2026-04-17T09:43:00Z,556a8494f6a3c1b869a361478762ac91c9c9c60a57d3d255fac9ba05462ecc01,04a278e8f2f45dc8ed09090d322b7f05,13,22,1845864,701102,1764594000000016733,1767218399012239313,1,22,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,43,04a278e8f2f45dc8ed09090d322b7f05,MATCH,PC2_TRANSFER_v4/manifest.csv:L43->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-12.parquet; PC2_TRANSFER_v4/manifest.csv:L43->processed/cl/v4_gapfill/cl_snapshots_2025-12.parquet,,,,,,,
cl,2025-12,B_processed_v4_gapfill,processed/cl/v4_gapfill/cl_snapshots_2025-12.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\cl\v4_gapfill\cl_snapshots_2025-12.parquet,28555621,2026-04-17T09:43:00Z,556a8494f6a3c1b869a361478762ac91c9c9c60a57d3d255fac9ba05462ecc01,04a278e8f2f45dc8ed09090d322b7f05,13,22,1845864,701102,1764594000000016733,1767218399012239313,1,22,24,v4_gapfill,false,PC2_TRANSFER_v4/manifest.csv,43,04a278e8f2f45dc8ed09090d322b7f05,MATCH,PC2_TRANSFER_v4/manifest.csv:L43->PC2_TRANSFER_v4/processed/cl/v4_gapfill/cl_snapshots_2025-12.parquet; PC2_TRANSFER_v4/manifest.csv:L43->processed/cl/v4_gapfill/cl_snapshots_2025-12.parquet,1,0,1,0,701101,2,1
es,2025-01,E_pc2_transfer_processed,pc2_transfer/processed/es/es_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\es\es_snapshots_2025-01.parquet,46772503,2026-04-01T20:11:57Z,288c4f18821c5fb65dea61a7ac5629eeefe5f2db530ce874f19e2da7fbffcb83,97718043ad15e37f305cbd3bfb2c6b73,14,22,1811402,605290,1735567200297756553,1738360799906256315,6,269,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
es,2025-01,A_processed_FIXTURE_PATH,processed/es/es_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-01.parquet,46772503,2026-04-01T20:11:57Z,288c4f18821c5fb65dea61a7ac5629eeefe5f2db530ce874f19e2da7fbffcb83,97718043ad15e37f305cbd3bfb2c6b73,14,22,1811402,605290,1735567200297756553,1738360799906256315,6,269,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",1,0,2,1,605284,2,6
es,2025-01,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\es\v4_morning_chunk\es_snapshots_2025-01.parquet,42999004,2026-04-17T06:05:21Z,21038d5bc999058f5321f4661c4237d5fbbc021f5aaf7d86cec940423e2e4da6,648b4421c08993afb6fe1eb1c2ffc664,14,22,1778405,604800,1735826400000011059,1738360799000010259,0,20,24,v4_morning_chunk,false,PC2_TRANSFER_v4/manifest.csv,68,648b4421c08993afb6fe1eb1c2ffc664,MATCH,PC2_TRANSFER_v4/manifest.csv:L68->PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-01.parquet; PC2_TRANSFER_v4/manifest.csv:L68->processed/es/v4_morning_chunk/es_snapshots_2025-01.parquet,,,,,,,
es,2025-01,B_processed_v4_morning_chunk,processed/es/v4_morning_chunk/es_snapshots_2025-01.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-01.parquet,42999004,2026-04-17T06:05:21Z,21038d5bc999058f5321f4661c4237d5fbbc021f5aaf7d86cec940423e2e4da6,648b4421c08993afb6fe1eb1c2ffc664,14,22,1778405,604800,1735826400000011059,1738360799000010259,0,20,24,v4_morning_chunk,false,PC2_TRANSFER_v4/manifest.csv,68,648b4421c08993afb6fe1eb1c2ffc664,MATCH,PC2_TRANSFER_v4/manifest.csv:L68->PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-01.parquet; PC2_TRANSFER_v4/manifest.csv:L68->processed/es/v4_morning_chunk/es_snapshots_2025-01.parquet,1,0,1,0,604800,1,0
es,2025-08,E_pc2_transfer_processed,pc2_transfer/processed/es/es_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\es\es_snapshots_2025-08.parquet,43407651,2026-04-02T14:01:26Z,8df3f8ead20028a4c9d5072cbfef961b9a9fd474dc55fb13675ca77707789994,76d856e7fffcebb1ab4661c2579bafa3,14,22,1757598,546610,1753650004372854781,1756501199624417099,6,311,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
es,2025-08,A_processed_FIXTURE_PATH,processed/es/es_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-08.parquet,43407651,2026-04-02T14:01:26Z,8df3f8ead20028a4c9d5072cbfef961b9a9fd474dc55fb13675ca77707789994,76d856e7fffcebb1ab4661c2579bafa3,14,22,1757598,546610,1753650004372854781,1756501199624417099,6,311,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",1,0,2,4,546604,2,6
es,2025-08,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\es\v4_morning_chunk\es_snapshots_2025-08.parquet,40861992,2026-04-17T08:00:26Z,f9a0ab9309dbb97bb2c333402ad95b45fb28cfc9ae41f525de5b14ce6f31d96c,badaf96583445f52a5d2d9e96bec273d,14,22,1760404,586810,1754056800000057765,1756501200064030909,5,25,24,v4_morning_chunk,false,PC2_TRANSFER_v4/manifest.csv,75,badaf96583445f52a5d2d9e96bec273d,MATCH,PC2_TRANSFER_v4/manifest.csv:L75->PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-08.parquet; PC2_TRANSFER_v4/manifest.csv:L75->processed/es/v4_morning_chunk/es_snapshots_2025-08.parquet,,,,,,,
es,2025-08,B_processed_v4_morning_chunk,processed/es/v4_morning_chunk/es_snapshots_2025-08.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-08.parquet,40861992,2026-04-17T08:00:26Z,f9a0ab9309dbb97bb2c333402ad95b45fb28cfc9ae41f525de5b14ce6f31d96c,badaf96583445f52a5d2d9e96bec273d,14,22,1760404,586810,1754056800000057765,1756501200064030909,5,25,24,v4_morning_chunk,false,PC2_TRANSFER_v4/manifest.csv,75,badaf96583445f52a5d2d9e96bec273d,MATCH,PC2_TRANSFER_v4/manifest.csv:L75->PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-08.parquet; PC2_TRANSFER_v4/manifest.csv:L75->processed/es/v4_morning_chunk/es_snapshots_2025-08.parquet,1,0,1,0,586805,2,5
es,2025-09,E_pc2_transfer_processed,pc2_transfer/processed/es/es_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\es\es_snapshots_2025-09.parquet,42687321,2026-04-02T14:43:18Z,8e6489bdba017472f801ceb5902b6bef64b31ce8a70f724cc8ae0c7ee8900baa,9c5ebb1a8c354d2eb1495dc13b0881fa,14,22,1820483,553280,1756674006010790563,1759265999842484617,5,209,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
es,2025-09,A_processed_FIXTURE_PATH,processed/es/es_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-09.parquet,42687321,2026-04-02T14:43:18Z,8e6489bdba017472f801ceb5902b6bef64b31ce8a70f724cc8ae0c7ee8900baa,9c5ebb1a8c354d2eb1495dc13b0881fa,14,22,1820483,553280,1756674006010790563,1759265999842484617,5,209,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",1,0,1,0,553275,2,5
es,2025-09,D_PC2_TRANSFER_v4,PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\PC2_TRANSFER_v4\processed\es\v4_morning_chunk\es_snapshots_2025-09.parquet,39183393,2026-04-17T08:13:44Z,57ffd6bef416552a50ea8f1ac3ba00e40e97dd4acb39344ced6fee5101ccac9e,c255f14ac769fb3a3c834a4b7c680f6f,14,22,1771204,590408,1756821600000053911,1759269599000080133,4,24,24,v4_morning_chunk,false,PC2_TRANSFER_v4/manifest.csv,76,c255f14ac769fb3a3c834a4b7c680f6f,MATCH,PC2_TRANSFER_v4/manifest.csv:L76->PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-09.parquet; PC2_TRANSFER_v4/manifest.csv:L76->processed/es/v4_morning_chunk/es_snapshots_2025-09.parquet,,,,,,,
es,2025-09,B_processed_v4_morning_chunk,processed/es/v4_morning_chunk/es_snapshots_2025-09.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\v4_morning_chunk\es_snapshots_2025-09.parquet,39183393,2026-04-17T08:13:44Z,57ffd6bef416552a50ea8f1ac3ba00e40e97dd4acb39344ced6fee5101ccac9e,c255f14ac769fb3a3c834a4b7c680f6f,14,22,1771204,590408,1756821600000053911,1759269599000080133,4,24,24,v4_morning_chunk,false,PC2_TRANSFER_v4/manifest.csv,76,c255f14ac769fb3a3c834a4b7c680f6f,MATCH,PC2_TRANSFER_v4/manifest.csv:L76->PC2_TRANSFER_v4/processed/es/v4_morning_chunk/es_snapshots_2025-09.parquet; PC2_TRANSFER_v4/manifest.csv:L76->processed/es/v4_morning_chunk/es_snapshots_2025-09.parquet,1,0,1,0,590404,2,4
es,2025-10,E_pc2_transfer_processed,pc2_transfer/processed/es/es_snapshots_2025-10.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\pc2_transfer\processed\es\es_snapshots_2025-10.parquet,49770812,2026-04-02T15:11:56Z,44fe5432bfaea8a7386685572b40a3f8499b46405b832c40ae8a1a93cfde93c3,f07adbbc7d7cdc6cc8a7885998926163,14,22,1925583,599190,1759095901014156761,1761944399996922459,5,298,24,v3_pre_gapfill,false,NOT_COVERED,,"",NOT_COVERED,"",,,,,,,
es,2025-10,A_processed_FIXTURE_PATH,processed/es/es_snapshots_2025-10.parquet,C:\Users\ttbea\OneDrive\Desktop\MBO_2025\processed\es\es_snapshots_2025-10.parquet,49770812,2026-04-02T15:11:56Z,44fe5432bfaea8a7386685572b40a3f8499b46405b832c40ae8a1a93cfde93c3,f07adbbc7d7cdc6cc8a7885998926163,14,22,1925583,599190,1759095901014156761,1761944399996922459,5,298,24,v3_pre_gapfill,true,NOT_COVERED,,"",NOT_COVERED,"",1,0,2,1,599185,2,5
